,1st week,2nd week,3rd week,4th week
375,8.05,11.2,10.5,7.35
376,8.05,10.15,10.5,7.0
377,8.05,10.15,10.15,7.0
378,8.05,9.8,10.5,7.35
379,8.05,9.8,10.15,7.0
380,7.7,9.1,10.5,7.35
381,8.05,9.8,10.15,7.0
382,7.7,9.45,10.15,7.0
383,8.4,9.8,10.5,7.35
384,8.05,9.8,10.5,7.0
385,8.05,9.45,10.5,7.35
386,8.05,9.8,10.15,7.0
387,8.05,9.1,9.45,7.35
388,8.05,9.8,10.15,7.0
389,7.7,9.8,9.45,7.0
390,8.05,9.8,9.8,7.7
391,8.05,10.15,9.8,7.7
392,8.05,9.1,9.8,7.35
393,7.7,9.45,9.45,6.65
394,11.2,9.45,9.8,7.7
395,19.25,9.45,9.45,7.0
396,18.9,9.1,9.45,7.0
397,18.9,9.45,10.5,7.35
398,18.9,9.45,9.1,7.0
399,18.9,10.85,9.8,7.35
400,18.9,12.6,11.55,14.35
401,19.25,14.7,20.65,18.55
402,19.25,14.7,20.65,18.55
403,19.25,15.05,20.65,18.2
404,18.55,15.05,20.65,18.2
405,18.55,15.4,21.35,17.15
406,17.5,19.25,21.35,16.8
407,17.5,20.65,21.35,15.4
408,16.8,18.2,20.3,14.0
409,15.05,16.45,19.95,11.55
410,10.5,14.7,15.4,8.75
411,7.35,13.65,15.75,5.25
412,3.15,12.95,17.5,1.4
413,0.35,14.0,18.9,0.0
414,0.0,8.75,17.15,0.0
415,0.0,3.85,17.5,0.0
416,0.0,0.0,18.2,0.0
417,0.0,1.05,16.8,0.0
418,0.0,8.75,15.4,0.0
419,0.0,0.7,15.4,0.0
420,0.0,6.65,17.5,0.0
421,0.0,5.95,14.35,0.0
422,0.0,7.0,12.95,0.0
423,0.0,1.75,15.4,0.0
424,0.0,4.9,18.2,0.0
425,0.0,3.15,19.25,0.0
426,0.0,6.65,18.9,0.0
427,0.0,1.75,12.95,0.0
428,0.0,3.15,17.5,0.0
429,0.0,3.5,26.95,0.0
430,0.0,3.15,22.05,0.0
431,0.0,4.2,15.05,0.0
432,0.0,3.5,16.8,0.0
433,0.0,0.7,14.7,0.0
434,0.0,3.15,8.75,0.0
435,0.0,1.75,11.55,0.0
436,0.0,1.75,8.05,0.0
437,0.0,3.5,8.75,0.0
438,2.45,3.15,7.0,0.0
439,0.0,5.25,2.8,0.0
440,0.0,0.7,6.3,0.0
441,0.0,2.45,17.5,0.0
442,0.7,0.0,19.6,0.0
443,0.0,6.3,19.6,0.0
444,0.0,22.05,17.5,0.0
445,0.35,1.4,10.85,0.0
446,0.0,1.05,10.15,0.0
447,0.0,6.3,8.05,0.0
448,0.0,11.9,7.35,0.0
449,0.0,16.45,10.5,0.0
450,0.35,14.35,20.3,0.0
451,3.5,11.55,19.95,1.75
452,0.7,10.15,17.85,3.5
453,0.35,12.25,18.9,7.7
454,2.45,17.85,23.1,15.75
455,2.1,25.2,22.4,19.25
456,4.2,23.1,21.7,23.45
457,4.55,23.1,25.2,24.15
458,5.25,22.4,22.75,28.0
459,5.95,21.0,17.85,28.0
460,7.0,18.2,13.3,25.2
461,7.7,11.2,8.75,24.15
